Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,1000000,19,20,89.10289090624605,0.176338902324376,ms/op,0.011211934335734959,2.374018597921201E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000000,16,20,89.23997901983249,0.19076887456816952,ms/op,0.011298972873329803,2.2447853910673867E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000000,32,20,90.07798314349259,0.16039588091595272,ms/op,0.0110976192197576,1.268007686718378E-5,ops/ms
ForkJoinBenchmark.bench,1000000,19,20,103.41350199690721,0.14582085836771708,ms/op,0.009864133669943327,1.2493780701182828E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000000,32,20,103.42682326185567,0.08873500418815258,ms/op,0.009492830161002526,1.577743655847442E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000000,16,20,103.53712985618556,0.16872977927044872,ms/op,0.009753961995346663,2.3240946830584695E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000000,8,20,111.92413055722223,0.20160599123013873,ms/op,0.008659908392474396,8.76670634987149E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000000,8,20,122.44805511116661,0.3183713628256515,ms/op,0.008519176373487421,3.081935560718434E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000000,4,20,165.1337083196721,0.5576804624570573,ms/op,0.006117349396197226,3.6118897369176616E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000000,4,20,184.74061720888886,0.6793000747706489,ms/op,0.0054006222965397675,1.668722304296614E-5,ops/ms
ClassicStreamBenchmark.bench_sequential,1000000,1,20,571.8106359166666,2.0232959534060857,ms/op,0.0018065423481550976,5.661547932812766E-6,ops/ms
